id,voteTotal,votePercent,confidence
UNITED STATES,,,
.Total,125736,58.3,0.3
.Male,58455,56.3,0.4
.Female,67281,60.1,0.4
.White alone,106588,60.3,0.3
..White non-Hispanic alone,99567,65.8,0.3
.Black alone,14016,56.3,1.1
.Asian alone,2768,29.8,1.7
.Hispanic (of any race),7587,28,1.2
.White alone or in combination,107930,60.3,0.3
..White non-Hispanic alone or in combination,100726,65.7,0.3
.Black alone or in combination ,14324,56.1,1.1
.Asian alone or in combination,2980,30.7,1.7
ALABAMA,,,
.Total,2060,61.8,2.3
.Male,935,59.6,3.4
.Female,1125,63.8,3.1
.White alone,1523,62.2,2.7
..White non-Hispanic alone,1522,63.1,2.7
.Black alone,511,63.9,5.6
.Asian alone,4,(B),(B)
.Hispanic (of any race),2,(B),(B)
.White alone or in combination,1539,62.2,2.7
..White non-Hispanic alone or in combination,1537,63.1,2.7
.Black alone or in combination ,517,64.2,5.6
.Asian alone or in combination,4,(B),(B)
ALASKA,,,
.Total,293,65,2.2
.Male,146,65.1,3.1
.Female,148,64.9,3.1
.White alone,249,69.3,2.4
..White non-Hispanic alone,241,70.4,2.4
.Black alone,8,(B),(B)
.Asian alone,7,(B),(B)
.Hispanic (of any race),10,(B),(B)
.White alone or in combination,259,68.9,2.3
..White non-Hispanic alone or in combination,251,69.9,2.4
.Black alone or in combination ,9,(B),(B)
.Asian alone or in combination,8,(B),(B)
ARIZONA,,,
.Total,2239,54.3,2.3
.Male,1034,51.5,3.4
.Female,1205,57,3.3
.White alone,2094,55.9,2.5
..White non-Hispanic alone,1803,68.8,2.7
.Black alone,66,46.6,15.3
.Asian alone,17,(B),(B)
.Hispanic (of any race),296,25.5,6.1
.White alone or in combination,2109,55.8,2.4
..White non-Hispanic alone or in combination,1818,68.6,2.7
.Black alone or in combination ,70,45.6,14.8
.Asian alone or in combination,20,(B),(B)
ARKANSAS,,,
.Total,1140,56.7,2.5
.Male,524,54.4,3.6
.Female,617,58.9,3.4
.White alone,966,58.6,2.7
..White non-Hispanic alone,959,60.8,2.8
.Black alone,145,49.4,8
.Asian alone,-,(B),(B)
.Hispanic (of any race),7,(B),(B)
.White alone or in combination,990,58.8,2.7
..White non-Hispanic alone or in combination,983,61,2.7
.Black alone or in combination ,147,49.7,7.9
.Asian alone or in combination,-,(B),(B)
CALIFORNIA,,,
.Total,12807,49.1,1.1
.Male,6022,47.1,1.5
.Female,6785,51,1.5
.White alone,10273,51.2,1.2
..White non-Hispanic alone,8311,67.3,1.5
.Black alone,1035,61.7,5
.Asian alone,1113,31.6,3.4
.Hispanic (of any race),2081,25.6,2.6
.White alone or in combination,10468,51.3,1.2
..White non-Hispanic alone or in combination,8453,67.1,1.4
.Black alone or in combination ,1077,61.3,4.8
.Asian alone or in combination,1162,31.9,3.4
COLORADO,,,
.Total,2097,61.7,1.9
.Male,1016,60.1,2.8
.Female,1081,63.3,2.7
.White alone,1972,63.7,2
..White non-Hispanic alone,1827,71.3,2.1
.Black alone,56,45.6,12.6
.Asian alone,18,(B),(B)
.Hispanic (of any race),165,28.8,6.9
.White alone or in combination,2008,63.7,2
..White non-Hispanic alone or in combination,1851,71.2,2.1
.Black alone or in combination ,57,43.9,12.2
.Asian alone or in combination,23,(B),(B)
CONNECTICUT,,,
.Total,1524,58.5,2
.Male,704,56.5,2.9
.Female,820,60.3,2.8
.White alone,1369,60.1,2.1
..White non-Hispanic alone,1319,62.4,2.2
.Black alone,117,50.2,8.3
.Asian alone,26,(B),(B)
.Hispanic (of any race),56,32.9,11.9
.White alone or in combination,1376,60.1,2.1
..White non-Hispanic alone or in combination,1324,62.3,2.2
.Black alone or in combination ,120,50.7,8.2
.Asian alone or in combination,26,(B),(B)
DELAWARE,,,
.Total,385,62.8,2.3
.Male,174,59.6,3.4
.Female,211,65.7,3.2
.White alone,322,66.4,2.6
..White non-Hispanic alone,311,69.9,2.6
.Black alone,57,52.4,7
.Asian alone,3,(B),(B)
.Hispanic (of any race),12,(B),(B)
.White alone or in combination,323,66.2,2.6
..White non-Hispanic alone or in combination,312,69.9,2.6
.Black alone or in combination ,58,52.3,6.9
.Asian alone or in combination,3,(B),(B)
DISTRICT OF COLUMBIA,,,
.Total,270,62,2.5
.Male,118,59.3,3.7
.Female,152,64.3,3.3
.White alone,116,64.8,3.8
..White non-Hispanic alone,110,73.4,3.8
.Black alone,146,61,4
.Asian alone,3,(B),(B)
.Hispanic (of any race),9,(B),(B)
.White alone or in combination,118,64.6,3.7
..White non-Hispanic alone or in combination,111,73.4,3.8
